Documento  0 

Índice	 	Término		 TF	 IDF	 TF-IDF	
2    	           wine 	 1	 0.26	0.26	
3    	           soft 	 1	 0.824	0.824	
4    	           ripe 	 1	 0.699	0.699	
5    	          fruit 	 1	 0.301	0.301	
6    	        acidity 	 1	 0.824	0.824	
7    	            red 	 1	 0.824	0.824	
8    	          berry 	 1	 0.699	0.699	
9    	         flavor 	 1	 0.602	0.602	



Documento  13 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	          clean 	 1	 0.824	0.824	
2    	          brisk 	 1	 1.301	1.301	
3    	      mouthfeel 	 1	 1.301	1.301	
4    	       slightly 	 1	 1.301	1.301	
5    	          oaked 	 1	 1.301	1.301	
6    	      sauvignon 	 1	 0.699	0.699	
7    	          blanc 	 1	 0.824	0.824	
8    	        instant 	 1	 1.301	1.301	
9    	    likeability 	 1	 1.301	1.301	
10    	            dry 	 1	 1	1	
11    	           rich 	 1	 1.301	1.301	
12    	         streak 	 1	 1.301	1.301	
13    	          honey 	 1	 0.824	0.824	
14    	       sweetens 	 1	 1.301	1.301	
15    	         citrus 	 1	 0.824	0.824	
16    	           pear 	 1	 1.301	1.301	
17    	       tropical 	 1	 1	1	
18    	          fruit 	 1	 0.301	0.301	
19    	        flavors 	 1	 0.398	0.398	
20    	           pair 	 1	 0.699	0.699	
21    	          asian 	 1	 1.301	1.301	
22    	           fare 	 1	 1.301	1.301	
23    	            ham 	 1	 1.301	1.301	
24    	          green 	 1	 1	1	
25    	          salad 	 1	 1.301	1.301	
26    	     grapefruit 	 1	 1	1	
27    	       sections 	 1	 1.301	1.301	



Documento  14 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	          berry 	 1	 0.699	0.699	
2    	          aroma 	 1	 1.301	1.301	
3    	           cola 	 1	 1.301	1.301	
4    	           herb 	 1	 1	1	
5    	          notes 	 1	 0.523	0.523	
6    	         palate 	 1	 0.602	0.602	
7    	          tangy 	 1	 1.301	1.301	
8    	           racy 	 1	 1.301	1.301	
9    	       delivers 	 1	 1.301	1.301	
10    	      raspberry 	 1	 1.301	1.301	
11    	           plum 	 1	 1.301	1.301	
12    	        flavors 	 1	 0.398	0.398	
13    	         modest 	 1	 1.301	1.301	
14    	         finish 	 1	 0.602	0.602	



Documento  15 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	       starting 	 1	 1.301	1.301	
2    	         blocks 	 1	 1.301	1.301	
3    	           oaky 	 1	 1.301	1.301	
4    	           wine 	 1	 0.26	0.26	
5    	       dripping 	 1	 1.301	1.301	
6    	        caramel 	 1	 1.301	1.301	
7    	        vanilla 	 1	 1	1	
8    	          notes 	 1	 0.523	0.523	
9    	        texture 	 1	 1.301	1.301	
10    	      midpalate 	 1	 1.301	1.301	
11    	       finessed 	 1	 1.301	1.301	
12    	       graceful 	 1	 1.301	1.301	
13    	         drying 	 1	 1	1	
14    	        tannins 	 1	 0.699	0.699	
15    	          latch 	 1	 1.301	1.301	
16    	     oak-driven 	 1	 1.301	1.301	
17    	         finish 	 1	 0.602	0.602	
18    	      eccentric 	 1	 1.301	1.301	
19    	          blend 	 1	 0.824	0.824	
20    	            50% 	 1	 1.301	1.301	
21    	         tannat 	 1	 1.301	1.301	
22    	            35% 	 1	 1.301	1.301	
23    	          petit 	 1	 1.301	1.301	
24    	         verdot 	 1	 1.301	1.301	
25    	            15% 	 1	 1.301	1.301	
26    	       pinotage 	 1	 1.301	1.301	



Documento  16 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	          spicy 	 1	 1.301	1.301	
2    	          fresh 	 1	 1.301	1.301	
3    	          clean 	 1	 0.824	0.824	
4    	           pair 	 1	 0.699	0.699	
5    	          fried 	 1	 1.301	1.301	
6    	        seafood 	 1	 1.301	1.301	
7    	      spaghetti 	 1	 1.301	1.301	
8    	            con 	 1	 1.301	1.301	
9    	        vongole 	 1	 1.301	1.301	
10    	         offers 	 1	 1	1	
11    	         pretty 	 1	 1.301	1.301	
12    	         citrus 	 1	 0.824	0.824	
13    	          tones 	 1	 1.301	1.301	
14    	         drying 	 1	 1	1	
15    	        mineral 	 1	 1	1	
16    	         nuance 	 1	 1.301	1.301	



Documento  17 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	          sweet 	 1	 0.699	0.699	
2    	           wine 	 1	 0.26	0.26	
3    	        flavors 	 1	 0.398	0.398	
4    	          white 	 1	 0.824	0.824	
5    	          sugar 	 1	 1.301	1.301	
6    	         orange 	 1	 1	1	
7    	          honey 	 1	 0.824	0.824	
8    	        vanilla 	 1	 1	1	
9    	     brightened 	 1	 1.301	1.301	
10    	          crisp 	 1	 1.301	1.301	
11    	        acidity 	 1	 0.824	0.824	



Documento  18 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	       bottling 	 1	 1.301	1.301	
2    	      resembles 	 1	 1.301	1.301	
3    	        zealand 	 1	 1	1	
4    	       paradigm 	 1	 1.301	1.301	
5    	      sauvignon 	 1	 0.699	0.699	
6    	          blanc 	 1	 0.824	0.824	
7    	        bearing 	 1	 1.301	1.301	
8    	         aromas 	 1	 0.602	0.602	
9    	     grapefruit 	 1	 1	1	
10    	        passion 	 1	 1.301	1.301	
11    	          fruit 	 1	 0.301	0.301	
12    	           kiwi 	 1	 1.301	1.301	
13    	     sprinkling 	 1	 1.301	1.301	
14    	         graham 	 1	 1.301	1.301	
15    	        cracker 	 1	 1.301	1.301	
16    	           adds 	 1	 1.301	1.301	
17    	       interest 	 1	 1.301	1.301	
18    	           wine 	 1	 0.26	0.26	
19    	           hits 	 1	 1.301	1.301	
20    	         palate 	 1	 0.602	0.602	
21    	         fleshy 	 1	 1.301	1.301	
22    	           fist 	 1	 1.301	1.301	
23    	        intense 	 1	 1.301	1.301	
24    	         grassy 	 1	 1.301	1.301	
25    	     gooseberry 	 1	 1	1	
26    	         flavor 	 1	 0.602	0.602	
27    	         plenty 	 1	 1.301	1.301	
28    	          punch 	 1	 1.301	1.301	
29    	           pair 	 1	 0.699	0.699	
30    	 apricot-glazed 	 1	 1.301	1.301	
31    	        roasted 	 1	 1.301	1.301	
32    	        chicken 	 1	 1.301	1.301	



Documento  19 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	           soft 	 1	 0.824	0.824	
2    	         fruity 	 1	 1.301	1.301	
3    	       generous 	 1	 1.301	1.301	
4    	           ripe 	 1	 0.699	0.699	
5    	           full 	 1	 1.301	1.301	
6    	          juicy 	 1	 0.824	0.824	
7    	     red-cherry 	 1	 1.301	1.301	
8    	         fruits 	 1	 1.301	1.301	
9    	         gentle 	 1	 1.301	1.301	
10    	        tannins 	 1	 0.699	0.699	
11    	       richness 	 1	 1.301	1.301	
12    	         giving 	 1	 1	1	
13    	          sweet 	 1	 0.699	0.699	
14    	      character 	 1	 1	1	
15    	           open 	 1	 1	1	
16    	 ready-to-drink 	 1	 1.301	1.301	
17    	           wine 	 2	 0.26	0.52	



Similitud entre documentos 

	Doc0	Doc1	Doc2	Doc3	Doc4	Doc5	Doc6	Doc7	Doc8	Doc9	Doc10	Doc11	Doc12	Doc13	Doc14	Doc15	Doc16	Doc17	Doc18	Doc19	
Doc0	1	0.097	0	0	0.006	0.005	0	0.01	0.012	0.099	0	0.039	0.112	0.005	0	0.028	0	0.007	0.007	0.296
Doc1	0.097	1	0	0	0.004	0.004	0	0.094	0.009	0.082	0	0.003	0.077	0.046	0	0.002	0.053	0.005	0.021	0.006
Doc2	0	0	1	0.008	0.055	0	0.062	0.021	0.042	0.039	0.138	0.007	0.041	0.005	0.008	0.022	0	0.01	0.011	0.021
Doc3	0	0	0.008	1	0.026	0	0.006	0.112	0	0	0	0.009	0	0.072	0.01	0	0	0.013	0.019	0
